status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,B-001,mwTJKp4BFOP5uam1hhxZ,Y,Y,42eff2a9931c9c39,af8e1ac153c24bbd,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,B-002,nATJKp4BFOP5uam1hhxZ,Y,Y,3218563a98d702d4,d9009439ff03214c,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,B-003,nQTJKp4BFOP5uam1hhxZ,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,B-004,ngTJKp4BFOP5uam1hhxZ,Y,,8ef6a0b7d99350ea,8ef6a0b7d99350ea,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,B-005,nwTJKp4BFOP5uam1hhxZ,Y,Y,48e8306173d66287,1ada171ca12369b1,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,B-006,oATJKp4BFOP5uam1hhxZ,Y,Y,74e622bd386361a6,ceff37513c708793,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,B-007,oQTJKp4BFOP5uam1hhxZ,Y,Y,11d2e7b30b1d9aba,63e4eb05e078bc7b,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,B-008,ogTJKp4BFOP5uam1hhxZ,Y,Y,30a1d650a5094b96,feaaa58866fa9a2e,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,B-009,owTJKp4BFOP5uam1hhxZ,Y,Y,f997070169945607,597504101cfc5cdb,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,B-010,pATJKp4BFOP5uam1hhxZ,Y,Y,e658a6a3e3b628e6,abbae577877e344f,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,B-011,pQTJKp4BFOP5uam1hhxZ,Y,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,B-012,pgTJKp4BFOP5uam1hhxZ,Y,Y,83f8a5d7e7a94c6d,50293fcfe89a141f,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,B-013,pwTJKp4BFOP5uam1hhxZ,Y,Y,50226a956d0a8054,221618d395f73051,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,B-014,qATJKp4BFOP5uam1hhxZ,Y,Y,42ed930f5c4726ca,b01b053514a6e0bc,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
