status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,sequence_similarity,high,0.9773,0,0,C-001,,Y,Y,dea77926650734ca,af8e1ac153c24bbd,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9608,1,1,C-002,,Y,Y,ce43e6f5fba89293,d9009439ff03214c,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9775,2,2,C-003,,Y,Y,4a19217080b7cbf7,f7fad0db6b13773f,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9785,3,3,C-004,,Y,Y,2011ec2364d81def,f70f0553185be478,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.96,4,4,C-005,,Y,Y,46e71097839b4cad,1ada171ca12369b1,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9817,5,5,C-006,,Y,Y,e8ae7d8fbae9fe26,ceff37513c708793,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.977,6,6,C-007,,Y,Y,1bd02e66dd01ae4f,63e4eb05e078bc7b,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.982,7,7,C-008,,Y,Y,055587e68e066c60,feaaa58866fa9a2e,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9697,8,8,C-009,,Y,Y,fb655c2be79f1d75,597504101cfc5cdb,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.974,9,9,C-010,,Y,Y,95e812a70023f912,abbae577877e344f,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9756,10,10,C-011,,Y,Y,70aa8dd2fb49c0d8,5afe173ecb223f78,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9785,11,11,C-012,,Y,Y,c24f000c3fcbccef,25bd83e574877a66,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9941,12,12,C-013,,Y,Y,a7693a19533b51da,5c7ea275b03aed20,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
MATCHED,sequence_similarity,high,0.9898,13,13,C-014,,Y,Y,469451da0180fde2,1ae288e399b9649f,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,True,False
