status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,,,,Y,af8e1ac153c24bbd,8c1029b06b7ccaa6,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,,,,Y,d9009439ff03214c,16fbe3aeaa771b87,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,,,,Y,f7fad0db6b13773f,cde2055ef3e9f00a,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,,,,Y,f70f0553185be478,1cfad21483b64b3e,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,,,,Y,1ada171ca12369b1,adef4b5f141ba19e,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,,,,Y,ceff37513c708793,f772d4566ed67f84,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,,,,Y,63e4eb05e078bc7b,b76cd482670e7c23,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,,,,Y,feaaa58866fa9a2e,e1061e9f437b1dad,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,,,,Y,597504101cfc5cdb,7c51dc6bc0be7ded,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,,,,Y,abbae577877e344f,e48d2cdd9cf8e314,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
