status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,C-001,,Y,Y,7157a4e1c60b2916,dacb9d7d06c2c0e0,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,C-002,,Y,Y,b2fede4210acfec8,973209046eb9a2cb,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,C-003,,Y,Y,db803c37aa990d58,1a8a00b42972119a,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,C-004,,Y,Y,0f900a2aed890420,c19d1dcb77f5eaca,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,C-005,,Y,Y,4a11f153b2e89921,30c4716d5ceda22d,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,C-006,,Y,Y,47c196ae5025d801,3d8fb37944cedd18,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,C-007,,Y,Y,4f1143f46fd7c2d6,0e5c29f5b1f08c1d,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,C-008,,Y,Y,8211fe1e7eae9060,3e85763f2b48b58b,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,C-009,,Y,Y,8d5395f041e68629,74cfab80bc943453,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,C-010,,Y,Y,547c087cd928210f,e03e32032ecb51e2,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,C-011,,Y,Y,ffca39c4606fe087,4276c736d950535a,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,C-012,,Y,Y,5870b6d78b99c447,d14f360681690e7b,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,C-013,,Y,Y,8f31732234e19112,0ac4ae471a305e5f,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
