status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,C-001,,Y,Y,7157a4e1c60b2916,1a9cfe94a73c23a9,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,C-002,,Y,Y,b2fede4210acfec8,11ab9ee287031047,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,C-003,,Y,Y,db803c37aa990d58,d746e5a05a3ff451,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,C-004,,Y,Y,0f900a2aed890420,46d78d26a73c3d4c,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,C-005,,Y,Y,4a11f153b2e89921,58a459927a6b4101,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,C-006,,Y,Y,47c196ae5025d801,3cf2e7b77e1a4753,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,C-007,,Y,Y,4f1143f46fd7c2d6,ec003d21f81643d4,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,C-008,,Y,Y,8211fe1e7eae9060,9d41d8b0b8e1deb7,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,C-009,,Y,Y,8d5395f041e68629,e3055bd5aae9d80f,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,C-010,,Y,Y,547c087cd928210f,b3b04980eea1ae3a,12,10,-2,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
