status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,,cwaqN54BFOP5uam1PXch,Y,,af8e1ac153c24bbd,af8e1ac153c24bbd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,,dAaqN54BFOP5uam1PXch,Y,,d9009439ff03214c,d9009439ff03214c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,,dQaqN54BFOP5uam1PXch,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,,dgaqN54BFOP5uam1PXch,Y,,aea1aa47987b6fda,aea1aa47987b6fda,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,,dwaqN54BFOP5uam1PXch,Y,,1ada171ca12369b1,1ada171ca12369b1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,,eAaqN54BFOP5uam1PXch,Y,,ceff37513c708793,ceff37513c708793,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,,eQaqN54BFOP5uam1PXch,Y,,63e4eb05e078bc7b,63e4eb05e078bc7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,,egaqN54BFOP5uam1PXch,Y,,feaaa58866fa9a2e,feaaa58866fa9a2e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,,ewaqN54BFOP5uam1PXch,Y,,597504101cfc5cdb,597504101cfc5cdb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,,fAaqN54BFOP5uam1PXch,Y,,abbae577877e344f,abbae577877e344f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,,fQaqN54BFOP5uam1PXch,Y,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,,fgaqN54BFOP5uam1PXch,Y,,50293fcfe89a141f,50293fcfe89a141f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,,fwaqN54BFOP5uam1PXch,Y,,221618d395f73051,221618d395f73051,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,,gAaqN54BFOP5uam1PXch,Y,,b01b053514a6e0bc,b01b053514a6e0bc,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,14,14,,gQaqN54BFOP5uam1PXch,Y,,4eb047d23122bfdf,4eb047d23122bfdf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,15,15,,ggaqN54BFOP5uam1PXch,Y,,2f826531bf41c1b7,2f826531bf41c1b7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,16,16,,gwaqN54BFOP5uam1PXch,Y,,c6185d12ba9ea752,c6185d12ba9ea752,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,17,17,,hAaqN54BFOP5uam1PXch,Y,,2a205804ddc4af19,2a205804ddc4af19,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,18,18,,hQaqN54BFOP5uam1PXch,Y,,0bd4e816b9b9021b,0bd4e816b9b9021b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,19,19,,hgaqN54BFOP5uam1PXch,Y,,ce3471dc3601a45a,ce3471dc3601a45a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,20,20,,hwaqN54BFOP5uam1PXch,Y,,e9fe06cbc402806d,e9fe06cbc402806d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,21,21,,iAaqN54BFOP5uam1PXch,Y,,923c42cfd887f48f,923c42cfd887f48f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,22,22,,iQaqN54BFOP5uam1PXch,Y,,9b5a2bf0773ae75d,9b5a2bf0773ae75d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,23,23,,igaqN54BFOP5uam1PXch,Y,,2a5ddc6848edc158,2a5ddc6848edc158,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,24,24,,iwaqN54BFOP5uam1PXch,Y,,0d6dda6fec9d0db4,0d6dda6fec9d0db4,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
