status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,0,0,Coy1MJ4BXb1gYwgPz7Tu,Coy1MJ4BXb1gYwgPz7Tu,,,af8e1ac153c24bbd,af8e1ac153c24bbd,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,1,1,C4y1MJ4BXb1gYwgPz7Tu,C4y1MJ4BXb1gYwgPz7Tu,,,d9009439ff03214c,d9009439ff03214c,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,2,2,DIy1MJ4BXb1gYwgPz7Tu,DIy1MJ4BXb1gYwgPz7Tu,,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,3,3,DYy1MJ4BXb1gYwgPz7Tu,DYy1MJ4BXb1gYwgPz7Tu,,,aea1aa47987b6fda,aea1aa47987b6fda,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,4,4,Doy1MJ4BXb1gYwgPz7Tu,Doy1MJ4BXb1gYwgPz7Tu,,,1ada171ca12369b1,1ada171ca12369b1,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,5,5,D4y1MJ4BXb1gYwgPz7Tu,D4y1MJ4BXb1gYwgPz7Tu,,,ceff37513c708793,ceff37513c708793,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,6,6,EIy1MJ4BXb1gYwgPz7Tu,EIy1MJ4BXb1gYwgPz7Tu,,,63e4eb05e078bc7b,63e4eb05e078bc7b,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,7,7,EYy1MJ4BXb1gYwgPz7Tu,EYy1MJ4BXb1gYwgPz7Tu,,,feaaa58866fa9a2e,feaaa58866fa9a2e,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,8,8,Eoy1MJ4BXb1gYwgPz7Tu,Eoy1MJ4BXb1gYwgPz7Tu,,,597504101cfc5cdb,597504101cfc5cdb,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,9,9,E4y1MJ4BXb1gYwgPz7Tu,E4y1MJ4BXb1gYwgPz7Tu,,,abbae577877e344f,abbae577877e344f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,10,10,FIy1MJ4BXb1gYwgPz7Tu,FIy1MJ4BXb1gYwgPz7Tu,,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,11,11,FYy1MJ4BXb1gYwgPz7Tu,FYy1MJ4BXb1gYwgPz7Tu,,,50293fcfe89a141f,50293fcfe89a141f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,12,12,Foy1MJ4BXb1gYwgPz7Tu,Foy1MJ4BXb1gYwgPz7Tu,,,221618d395f73051,221618d395f73051,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
