status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,rAWBMZ4BFOP5uam1qod7,ygadN54BFOP5uam1VHZq,Y,Y,fc6b655c2b99d69d,af8e1ac153c24bbd,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,rQWBMZ4BFOP5uam1qod7,ywadN54BFOP5uam1VHZq,Y,Y,bde4a073b776d017,d9009439ff03214c,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,rgWBMZ4BFOP5uam1qod7,zAadN54BFOP5uam1VHZq,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,rwWBMZ4BFOP5uam1qod7,zQadN54BFOP5uam1VHZq,Y,,8ef6a0b7d99350ea,8ef6a0b7d99350ea,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,sAWBMZ4BFOP5uam1qod7,zgadN54BFOP5uam1VHZq,Y,Y,f225fe89dd2c491f,1ada171ca12369b1,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,sQWBMZ4BFOP5uam1qod7,zwadN54BFOP5uam1VHZq,Y,Y,aec22804817b7a76,ceff37513c708793,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,sgWBMZ4BFOP5uam1qod7,0AadN54BFOP5uam1VHZq,Y,Y,3a131bb0ad8b6722,63e4eb05e078bc7b,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,swWBMZ4BFOP5uam1qod7,0QadN54BFOP5uam1VHZr,Y,Y,d09b1cd692de884b,feaaa58866fa9a2e,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,tAWBMZ4BFOP5uam1qod7,0gadN54BFOP5uam1VHZr,Y,Y,630d577834e73bf2,597504101cfc5cdb,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,tQWBMZ4BFOP5uam1qod7,0wadN54BFOP5uam1VHZr,Y,Y,73db5a1cbecfb600,abbae577877e344f,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,tgWBMZ4BFOP5uam1qod7,1AadN54BFOP5uam1VHZr,Y,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,twWBMZ4BFOP5uam1qod7,1QadN54BFOP5uam1VHZr,Y,Y,a325c0bd68ecb506,50293fcfe89a141f,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,uAWBMZ4BFOP5uam1qod7,1gadN54BFOP5uam1VHZr,Y,Y,8befe0d66eb7925e,221618d395f73051,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,uQWBMZ4BFOP5uam1qod7,1wadN54BFOP5uam1VHZr,Y,Y,2bce1ac621c49c96,b01b053514a6e0bc,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,14,14,ugWBMZ4BFOP5uam1qod7,2AadN54BFOP5uam1VHZr,Y,Y,a0fa63694400c037,4eb047d23122bfdf,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,15,15,uwWBMZ4BFOP5uam1qod7,2QadN54BFOP5uam1VHZr,Y,,2f826531bf41c1b7,2f826531bf41c1b7,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,16,16,vAWBMZ4BFOP5uam1qod7,2gadN54BFOP5uam1VHZr,Y,Y,f1079fdef20ab7d8,c6185d12ba9ea752,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,17,17,vQWBMZ4BFOP5uam1qod7,2wadN54BFOP5uam1VHZr,Y,,2a205804ddc4af19,2a205804ddc4af19,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,18,18,vgWBMZ4BFOP5uam1qod7,3AadN54BFOP5uam1VHZr,Y,,0bd4e816b9b9021b,0bd4e816b9b9021b,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,19,19,vwWBMZ4BFOP5uam1qod7,3QadN54BFOP5uam1VHZr,Y,Y,320614bcbdc5d283,ce3471dc3601a45a,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,20,20,wAWBMZ4BFOP5uam1qod7,3gadN54BFOP5uam1VHZr,Y,Y,dea481ab586facc3,e9fe06cbc402806d,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,21,21,wQWBMZ4BFOP5uam1qod7,3wadN54BFOP5uam1VHZr,Y,Y,c38a0b692eed0357,923c42cfd887f48f,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
