status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,OoyEMZ4BXb1gYwgPMsf7,YI2eN54BXb1gYwgPUE8s,Y,Y,3e5d35753ec18049,a71284f595ca949b,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,O4yEMZ4BXb1gYwgPMsf7,YY2eN54BXb1gYwgPUE8s,Y,Y,f900b46e3ed8fa72,7be03cd1911537df,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,PIyEMZ4BXb1gYwgPMsf7,Yo2eN54BXb1gYwgPUE8s,Y,Y,6e48bd13a6d16834,305ec54c29e63d12,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,PYyEMZ4BXb1gYwgPMsf7,Y42eN54BXb1gYwgPUE8s,Y,Y,ea69d8d218e8c1b7,4b8d5682353bad8f,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,PoyEMZ4BXb1gYwgPMsf7,ZI2eN54BXb1gYwgPUE8s,Y,Y,4df4f73513b8b021,b8e95469106faf75,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,P4yEMZ4BXb1gYwgPMsf7,ZY2eN54BXb1gYwgPUE8s,Y,Y,050813d3e8e777c3,90f90b3621adab13,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,QIyEMZ4BXb1gYwgPMsf7,Zo2eN54BXb1gYwgPUE8s,Y,Y,af1fe8408136876a,ff331a0bcf8e1e1b,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,QYyEMZ4BXb1gYwgPMsf7,Z42eN54BXb1gYwgPUE8s,Y,Y,4ec059cb2121d0b3,45955d13c677dec1,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,QoyEMZ4BXb1gYwgPMsf7,aI2eN54BXb1gYwgPUE8s,Y,Y,83a45a05b6f9a332,7fff887fd726c47b,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,Q4yEMZ4BXb1gYwgPMsf7,aY2eN54BXb1gYwgPUE8s,Y,Y,8f434fab4ff1169e,c23394960880daf4,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,RIyEMZ4BXb1gYwgPMsf7,ao2eN54BXb1gYwgPUE8s,Y,Y,c3c9dea1da348c04,3c293b592813090b,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,RYyEMZ4BXb1gYwgPMsf7,a42eN54BXb1gYwgPUE8s,Y,Y,bf89627ae42181dd,01621b2d4fca6dae,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,RoyEMZ4BXb1gYwgPMsf7,bI2eN54BXb1gYwgPUE8s,Y,Y,41d9ec1b8bef1043,d35a108aecbb6291,18,18,0,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject,,False,False
